date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:19	56334/56334	---M--	200	added ('OK')	application/octet-stream	etag:%2272a5926fe002bcc4e3544e0a06596dbd%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484707775.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484707775.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:11:20	99523/99523	---M--	200	added ('OK')	application/octet-stream	etag:%2290e39420b17446e29f50e3a1cc6da9e2%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484864809.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484864809.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:21	45355/45355	---M--	200	added ('OK')	application/octet-stream	etag:%22e8ea400d2251647ca89834883f9e8751%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484848338.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484848338.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:22	52992/52992	---M--	200	added ('OK')	application/octet-stream	etag:%225ed51bcaebadd779626d6f2c156d862b%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599485750956.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599485750956.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:23	9636/9636	---M--	200	added ('OK')	application/octet-stream	etag:%227ead1626c2888d1eed6e700ba8e1b573%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041483.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041483.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:11:25	17421/17421	---M--	200	added ('OK')	application/octet-stream	etag:%22d305456257ad86fe6afae8ce10032a81%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041484.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041484.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:26	34351/34351	---M--	200	added ('OK')	application/octet-stream	etag:%223143e9a00d9c33865cae648d8e79b1b8%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041488.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041488.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:11:28	89951/89951	---M--	200	added ('OK')	application/octet-stream	etag:%2224c023d115ff774bd69ed4151dea4a64%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041489.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041489.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:11:29	83053/83053	---M--	200	added ('OK')	application/octet-stream	etag:%22a8a570709c875e96a75e0015e819fba9%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041490.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041490.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:11:30	30771/30771	---M--	200	added ('OK')	application/octet-stream	etag:%22d69b88f9c975dbf6507e983aa1ccc03f%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070057.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070057.jpeg	(from https://mycrd.in/new-tiruppur-traders)
